RMSE  F1  R2
1.0480e-01 0.6532 0.9694 0.8878
4.1781e-01 0.9937 0.2045 0.4663
8.9735e-02 0.7023 0.9795 0.9396
3.9083e-02 0.9597 0.9778 0.9005
1.7895e-02 0.9995 0.9741 0.8946
3.2351e-02 0.9419 0.9621 0.9093
7.3057e-03 0.9989 0.9851 0.9083
7.3395e-03 1.0000 0.9811 0.8820
2.5286e-01 0.9967 0.7053 0.5269
7.7544e-02 0.6451 0.9386 0.8287
5.6354e-02 0.9591 0.9774 0.8743
1.1751e-02 0.9729 0.9868 0.8866
2.9883e-02 0.7034 0.8990 0.8003
9.5730e-02 0.9008 0.9876 0.9148
9.5799e-03 1.0000 0.9801 0.9005
1.9623e-02 0.9862 0.9162 0.8591
4.6946e-02 0.8974 0.9926 0.9389
7.8599e-02 0.8456 0.9825 0.8990
9.5074e-02 0.7107 0.9749 0.8894
2.9524e-02 0.9385 0.9668 0.9031
7.3725e-02 0.9383 0.9727 0.8759
6.2434e-02 0.9183 0.9690 0.8480
2.0174e-01 0.0038 0.9764 0.9249
6.3487e-02 0.7184 0.9876 0.9177
1.9131e-01 0.8921 0.9751 0.9178
1.1352e-02 0.9815 0.9778 0.8752
9.3843e-03 0.9928 0.9869 0.9404
5.9602e-02 0.7895 0.9583 0.9462
9.9083e-03 0.9682 0.9835 0.9059
4.1323e-01 0.1783 0.9712 0.9082
6.5467e-02 0.8105 0.9812 0.9346
9.2176e-03 0.9963 0.9816 0.9175
3.7709e-02 0.8789 0.9668 0.9271
6.1524e-02 0.7490 0.9673 0.8670
5.8149e-02 0.9096 0.9892 0.9295
2.5408e-02 0.9638 0.9922 0.9337
7.2373e-03 1.0000 0.9759 0.9028
2.7086e-01 0.2258 0.8963 0.6984
5.0950e-02 0.9787 0.9815 0.9283
1.6465e-02 0.9810 0.9869 0.9050
1.2208e-02 0.9599 0.9959 0.9516
5.0891e-02 0.9646 0.9607 0.8205
1.0786e-01 0.9448 0.9665 0.8813
6.2919e-03 0.9999 0.9839 0.9113
1.2660e-02 0.9938 0.9789 0.8935
6.2924e-02 0.5912 0.9885 0.9418
3.2368e-02 0.8998 0.9853 0.9218
8.5046e-02 0.9182 0.9866 0.9243
1.8831e-02 0.9845 0.9886 0.9394
6.1301e-02 0.9675 0.9698 0.9105
1.3442e-02 0.9958 0.9698 0.8281
4.6381e-01 0.9999 0.4935 0.4132
8.1145e-03 0.9983 0.9831 0.9161
8.7863e-03 0.9904 0.9907 0.9391
6.0742e-02 0.9425 0.9310 0.7692
1.6879e-02 0.9896 0.9925 0.9426
9.9469e-02 0.5945 0.9832 0.9405
1.0739e-01 0.8291 0.9839 0.9208
7.4398e-02 0.9011 0.9823 0.9390
7.5872e-02 0.7195 0.9116 0.4141
1.9972e-02 0.9896 0.9614 0.8459
2.5472e-02 0.9981 0.9774 0.8817
9.0844e-02 0.5665 0.9873 0.8367
8.8579e-03 0.9973 0.9848 0.9140
7.9517e-02 0.9480 0.9735 0.9040
8.1216e-02 0.7539 0.9537 0.7976
2.6023e-02 0.9587 0.9924 0.9350
1.4994e-01 0.8643 0.9726 0.9028
2.7044e-02 0.9379 0.9902 0.9450
8.7483e-03 1.0000 0.9598 0.8716
7.3788e-02 0.6402 0.9772 0.9266
5.3847e-02 0.9109 0.9849 0.9043
2.9616e-02 0.9865 0.9526 0.8057
3.9714e-02 0.9708 0.9642 0.8631
1.3579e-01 0.5826 0.9710 0.9329
2.2933e-02 0.9661 0.9390 0.8577
9.1777e-02 0.5312 0.9712 0.8928
2.2004e-02 0.8739 0.9283 0.8141
6.8663e-02 0.9220 0.9513 0.8895
3.2150e-02 0.9168 0.9690 0.9432
1.0923e-01 0.8307 0.7680 0.4714
6.4336e-02 0.8582 0.9445 0.8030
1.0883e-01 0.5852 0.9709 0.9220
