RMSE  F1  R2
2.1344e-01 0.1999 0.9215 0.9487
7.7878e-02 0.6787 0.9930 0.9836
4.3263e-02 0.5213 0.9649 0.9863
3.3693e-02 0.7495 0.9819 0.9787
5.8505e-02 0.6302 0.9862 0.9852
6.0901e-02 0.0000 0.9771 0.9757
4.0318e-02 0.5589 0.9826 0.9676
7.9191e-02 0.4110 0.9910 0.9783
5.7167e-02 0.4491 0.9946 0.9916
5.4268e-02 0.0000 0.9711 0.9702
1.0687e-01 0.0000 0.9074 0.8751
1.1690e-01 0.7359 0.9580 0.9816
3.6825e-02 0.2628 0.9870 0.9878
4.6650e-02 0.8691 0.9793 0.9920
5.4735e-02 0.6435 0.9801 0.9847
3.5750e-02 0.7539 0.9852 0.9936
1.2183e-01 0.3613 0.9824 0.9816
4.3568e-02 0.7141 0.9891 0.9933
5.4241e-02 0.2845 0.9938 0.9882
3.9113e-02 0.7422 0.9744 0.9898
3.4396e-02 0.7390 0.9924 0.9876
4.1454e-02 0.8048 0.9864 0.9727
3.2717e-02 0.6451 0.9846 0.9910
1.8242e-01 0.0000 0.8887 0.7855
3.5736e-02 0.7808 0.9915 0.9922
6.0195e-02 0.4722 0.9890 0.9902
5.1168e-02 0.5347 0.9891 0.9925
7.0222e-02 0.6820 0.9798 0.9834
5.0118e-02 0.6546 0.9939 0.9890
3.6154e-02 0.6522 0.9905 0.9918
3.3479e-02 0.8626 0.9855 0.9813
4.4036e-02 0.2863 0.9767 0.9790
5.9981e-02 0.5050 0.9709 0.9886
9.1029e-02 0.6240 0.9685 0.9814
4.6320e-02 0.7155 0.9823 0.9912
4.1473e-02 0.5127 0.9681 0.9715
4.3650e-02 0.0572 0.9744 0.9575
4.2330e-02 0.4660 0.9954 0.9493
5.9809e-02 0.2692 0.9571 0.9731
3.2204e-02 0.2417 0.9814 0.9900
5.7858e-02 0.0000 0.9373 0.8736
3.6712e-02 0.6725 0.9680 0.9831
3.6603e-02 0.6578 0.9743 0.9887
4.2511e-02 0.5994 0.9783 0.9910
5.2855e-02 0.0018 0.9754 0.9863
1.1470e-01 0.4672 0.9672 0.9576
3.9793e-02 0.8335 0.9938 0.9868
1.3928e-01 0.5362 0.9629 0.9839
1.9232e-01 0.5054 0.9708 0.9729
4.7618e-02 0.6290 0.9908 0.9936
3.9488e-02 0.6277 0.9642 0.9865
4.0903e-02 0.1782 0.9934 0.9834
1.0234e-01 0.6959 0.9840 0.9422
1.1454e-01 0.2426 0.9931 0.9831
7.4422e-02 0.0078 0.9920 0.9597
4.0889e-02 0.4043 0.9827 0.9906
3.9534e-02 0.4397 0.9817 0.9871
4.1250e-02 0.6646 0.9737 0.9909
1.7858e-01 0.7404 0.9662 0.9287
1.7516e-01 0.5981 0.9838 0.9806
3.6849e-02 0.7132 0.9949 0.9923
3.3298e-02 0.5576 0.9880 0.9819
4.1877e-02 0.6177 0.9830 0.9917
3.4902e-02 0.6896 0.9808 0.9941
5.6502e-02 0.5142 0.9603 0.9901
1.2938e-01 0.5635 0.9851 0.9830
4.4684e-02 0.6510 0.9930 0.9906
6.4378e-02 0.6321 0.9840 0.9794
5.6994e-02 0.8430 0.9856 0.9917
3.1211e-02 0.7572 0.9850 0.9894
3.7970e-02 0.3949 0.9798 0.9918
1.1609e-01 0.0000 0.9402 0.9148
3.0995e-02 0.8049 0.9889 0.9930
3.2392e-02 0.6997 0.9843 0.9898
3.6214e-02 0.7080 0.9886 0.9848
