RMSE  F1  R2
1.0164e-02 0.9853 0.9818 0.9396
1.9729e-02 0.9840 0.9790 0.9672
2.8779e-02 0.9086 0.9600 0.9788
2.9528e-02 0.9696 0.9751 0.9498
1.0198e-02 0.9865 0.9950 0.9663
1.9769e-02 0.9558 0.9783 0.9789
2.4601e-02 0.9840 0.9715 0.9501
2.2188e-02 0.9468 0.9748 0.9761
2.1801e-02 0.9672 0.9955 0.9729
2.6842e-02 0.8820 0.9953 0.9651
1.4854e-02 0.9950 0.9541 0.9492
3.0309e-02 0.8074 0.9933 0.9748
9.9321e-03 0.9674 0.9953 0.9615
1.5142e-02 0.9813 0.9890 0.9739
1.4048e-02 0.9985 0.9504 0.8996
2.6776e-02 0.9051 0.9653 0.9725
3.2516e-02 0.9291 0.9643 0.9794
1.7992e-02 0.9471 0.9792 0.9619
1.3230e-02 0.9594 0.9923 0.9807
1.9179e-02 0.9947 0.9827 0.9340
1.1470e-02 0.9965 0.9876 0.9461
4.2634e-02 0.9934 0.9722 0.9328
1.6169e-02 0.9830 0.9916 0.9725
2.9249e-02 0.9469 0.9639 0.9795
3.2701e-02 0.9981 0.9706 0.9490
1.4464e-02 0.9337 0.9925 0.9684
9.8954e-03 0.9881 0.9745 0.9459
2.4577e-02 0.9557 0.9845 0.9570
1.1447e-02 0.9809 0.9919 0.9702
7.4873e-03 0.9926 0.9948 0.9662
1.6437e-02 0.9620 0.9902 0.9808
1.5263e-02 0.9374 0.9871 0.9785
1.5417e-02 0.9697 0.9511 0.9515
8.1058e-03 0.9940 0.9907 0.9554
2.8442e-02 0.9054 0.9893 0.9797
2.0931e-02 0.9320 0.9830 0.9827
1.6863e-02 0.9564 0.9883 0.9731
1.6572e-02 0.9697 0.9914 0.9827
2.9799e-02 0.9460 0.9829 0.9757
2.4729e-02 0.8400 0.9778 0.9812
2.6554e-02 0.9292 0.9721 0.9728
4.5013e-02 0.8519 0.9913 0.9762
3.8245e-02 0.9931 0.9667 0.9409
1.6601e-02 0.9351 0.9957 0.9815
2.0626e-02 0.9168 0.9798 0.9838
7.7295e-03 0.9966 0.9797 0.9203
1.6675e-02 0.9811 0.9832 0.9727
5.4632e-02 0.9057 0.9881 0.9574
3.3046e-02 0.9610 0.9871 0.9651
5.6892e-02 1.0000 0.9602 0.9078
2.7139e-02 0.9320 0.9596 0.9786
3.4071e-02 0.9432 0.9776 0.9490
1.2510e-02 0.9805 0.9945 0.9690
1.8083e-02 0.9488 0.9819 0.9801
1.8691e-02 0.9658 0.9747 0.9793
1.2592e-02 0.9735 0.9929 0.9736
4.0655e-02 0.9119 0.9695 0.9796
1.5269e-02 0.9917 0.9857 0.9679
2.0731e-02 0.9414 0.9788 0.9816
1.6646e-02 0.9789 0.9967 0.9705
2.7557e-02 0.9480 0.9594 0.9742
3.0131e-02 0.8073 0.9758 0.9816
2.1921e-02 0.9644 0.9963 0.9694
1.0366e-02 0.9811 0.9842 0.9656
1.2231e-02 0.9920 0.9871 0.9438
1.3587e-02 0.9644 0.9918 0.9798
3.5529e-02 0.9517 0.9809 0.9756
3.5322e-02 0.9711 0.9760 0.9569
2.5200e-02 0.9642 0.9731 0.9785
2.4366e-02 0.9968 0.9421 0.9205
2.6470e-02 0.9908 0.9753 0.9608
1.9550e-02 0.9588 0.9725 0.9781
1.3651e-02 0.9705 0.9894 0.9727
1.0811e-02 0.9992 0.9619 0.9374
1.4616e-02 0.9842 0.9748 0.9467
2.6501e-02 0.9573 0.9547 0.9759
1.5333e-02 0.9803 0.9859 0.9446
2.1728e-02 0.8711 0.9912 0.9821
2.3600e-02 0.8844 0.9815 0.9820
3.8711e-02 0.9704 0.9753 0.9756
1.3320e-02 0.9611 0.9917 0.9763
1.6669e-02 0.9337 0.9899 0.9749
9.5497e-03 0.9827 0.9949 0.9742
2.6005e-02 0.9479 0.9944 0.9727
2.1968e-02 0.9549 0.9803 0.9651
