MAE  F1  R2
5.3146e-02 0.8960 0.7590 0.6358
2.6744e-01 0.9752 0.2954 0.6421
1.4100e-01 0.2367 0.7508 0.5327
4.6238e-02 0.9687 0.7454 0.5932
3.9253e-02 0.9989 0.7010 0.5962
4.4562e-02 0.9018 0.7285 0.6851
8.3603e-02 0.8860 0.7464 0.6531
4.1878e-02 0.9883 0.6252 0.5713
1.0047e+00 0.9969 0.4075 0.4623
2.7015e-01 0.3444 0.7240 0.7054
4.9780e-02 0.9587 0.6564 0.5437
1.2989e-01 0.7786 0.6784 0.5652
8.6027e-02 0.5152 0.5625 0.6846
4.7783e-02 0.8994 0.7669 0.5900
9.7399e-02 0.9995 0.7039 0.5574
9.8507e-02 0.7050 0.4785 0.7584
1.8772e-01 0.6204 0.8425 0.6740
2.2970e-01 0.6694 0.7238 0.5879
8.5597e-02 0.7787 0.7485 0.5449
6.8808e-02 0.7401 0.7161 0.6237
9.2677e-02 0.9364 0.7080 0.6699
1.3121e-01 0.5033 0.6672 0.5850
1.7102e-01 0.0365 0.6876 0.6327
6.7628e-02 0.6463 0.7989 0.6132
1.6371e-01 0.8885 0.7290 0.5054
4.6692e-02 0.9653 0.6090 0.5958
3.6035e-02 0.9660 0.7842 0.6150
5.0141e-02 0.8232 0.7935 0.5803
5.8244e-02 0.8627 0.7295 0.6779
1.6232e-01 0.5401 0.6745 0.7301
6.4666e-02 0.6253 0.8484 0.7039
4.2936e-02 0.9539 0.6600 0.5903
8.0564e-02 0.2967 0.8025 0.6639
6.3369e-02 0.7598 0.6873 0.7077
1.0809e-01 0.5641 0.7601 0.7152
6.4476e-02 0.7377 0.8586 0.5570
7.2327e-02 1.0000 0.7302 0.5027
1.4701e-01 0.6277 0.5908 0.8330
1.3074e-01 0.9751 0.8009 0.5439
1.1808e-01 0.6979 0.6229 0.4962
6.6857e-02 0.6467 0.7339 0.5664
1.0995e-01 0.7718 0.5482 0.4821
1.7144e-01 0.9080 0.6985 0.5835
2.8034e-02 0.9979 0.7244 0.5838
5.4794e-02 0.8918 0.5505 0.5712
4.7533e-02 0.7521 0.7398 0.6785
5.3279e-02 0.8857 0.5965 0.5752
1.6945e-01 0.8428 0.8480 0.5772
4.0031e-02 0.9417 0.7128 0.5617
6.1187e-02 0.9813 0.6174 0.6129
1.0077e-01 0.8314 0.5517 0.5182
2.4344e+00 0.9999 0.0288 0.4092
6.4719e-02 0.9969 0.7289 0.5831
8.0554e-02 0.7561 0.7514 0.5169
1.6363e-01 0.4339 0.5706 0.6392
3.6438e-02 0.9633 0.7473 0.5717
5.3238e-02 0.6470 0.8510 0.7053
1.1477e-01 0.7526 0.7335 0.5517
8.8907e-02 0.8957 0.8210 0.6459
5.6408e-02 0.8790 0.7033 0.6652
7.2010e-02 0.8720 0.4789 0.5359
9.1242e-02 0.7453 0.5896 0.4890
1.9111e-01 0.0064 0.6586 0.5752
9.1328e-02 0.8764 0.7208 0.5749
1.4070e-01 0.9299 0.6949 0.6052
1.5675e-01 0.3062 0.6023 0.6041
6.1363e-02 0.9105 0.7699 0.5300
8.7361e-02 0.9010 0.7190 0.4956
7.9858e-02 0.9059 0.8200 0.6559
3.7453e-02 0.9998 0.6492 0.5266
7.0663e-02 0.5347 0.7829 0.6429
4.4197e-02 0.9245 0.7091 0.5583
1.0324e-01 0.8549 0.3125 0.4776
5.3449e-02 0.9510 0.6234 0.5541
9.8502e-02 0.7729 0.7412 0.5014
7.7448e-02 0.7587 0.5991 0.6736
2.5193e-01 0.3806 0.6863 0.6521
5.6698e-02 0.7854 0.8043 0.6729
9.0707e-02 0.8359 0.6704 0.6198
7.7778e-02 0.5204 0.8303 0.6472
3.1782e-01 0.8053 0.4560 0.6910
9.0809e-02 0.8726 0.3845 0.7260
1.6106e-01 0.2156 0.6283 0.5550
4.0576e-02 0.9820 0.7063 0.5141
4.6140e-02 0.8901 0.6437 0.5948
1.1047e-01 0.7848 0.7998 0.7793
7.9589e-02 0.6433 0.8366 0.6667
4.9212e-02 0.9034 0.7399 0.5526
5.0173e-02 0.9577 0.6968 0.6773
1.0865e-01 0.2747 0.7824 0.6118
5.1976e-02 0.9787 0.5767 0.5748
1.4504e-01 0.8737 0.5671 0.6350
8.4643e-02 0.6238 0.8064 0.7462
5.0567e-02 0.9196 0.5952 0.5968
6.3147e-02 0.8410 0.7539 0.6726
3.9474e-02 0.9942 0.6388 0.5918
1.1914e-01 0.6553 0.7203 0.6353
6.3684e-02 0.8681 0.6504 0.5556
