MAE  F1  R2
2.8846e-01 0.1722 0.8621 0.8392
1.1087e-01 0.4229 0.9303 0.9350
1.1199e-01 0.4652 0.8703 0.9265
9.3735e-02 0.3602 0.8654 0.9128
9.3374e-02 0.5152 0.8601 0.8939
1.2195e-01 0.0000 0.9164 0.8731
9.8621e-02 0.1513 0.8960 0.8900
1.2622e-01 0.0095 0.9108 0.9073
1.4714e-01 0.0000 0.9530 0.7859
1.0695e-01 0.0000 0.8674 0.8928
1.1982e-01 0.0000 0.7910 0.8418
9.5225e-02 0.1316 0.8696 0.8962
9.5840e-02 0.0000 0.8965 0.9351
1.1171e-01 0.5455 0.7885 0.9214
8.1531e-02 0.5243 0.9208 0.9088
9.0353e-02 0.4909 0.9065 0.9436
1.4786e-01 0.2497 0.8645 0.8858
9.4091e-02 0.3454 0.9154 0.9166
1.5006e-01 0.0000 0.9406 0.7829
8.4683e-02 0.0445 0.8999 0.9377
1.0889e-01 0.3257 0.9366 0.9455
1.1684e-01 0.5090 0.9340 0.9130
9.4284e-02 0.3579 0.8831 0.9291
1.4332e-01 0.0000 0.8068 0.8000
8.9774e-02 0.5446 0.9219 0.9586
1.1159e-01 0.0000 0.7529 0.8197
1.1882e-01 0.0000 0.9241 0.9142
1.2614e-01 0.4948 0.8845 0.8749
1.6138e-01 0.4983 0.9332 0.9318
1.1106e-01 0.4924 0.9215 0.9440
1.0771e-01 0.4962 0.8798 0.8924
1.0524e-01 0.2845 0.9366 0.9099
1.0542e-01 0.1968 0.8879 0.9453
1.1377e-01 0.2478 0.7900 0.9013
9.6008e-02 0.0000 0.9238 0.8807
9.9318e-02 0.1234 0.8564 0.9263
8.5858e-02 0.0000 0.8638 0.8409
1.4808e-01 0.0000 0.9424 0.8219
1.0125e-01 0.0000 0.8965 0.8612
9.0536e-02 0.1226 0.8778 0.9192
1.3281e-01 0.0000 0.8631 0.8479
8.0255e-02 0.4089 0.8620 0.9162
1.0840e-01 0.3121 0.8880 0.9000
9.6928e-02 0.2302 0.8745 0.9233
1.3756e-01 0.0000 0.8806 0.8948
1.2061e-01 0.1281 0.7911 0.8791
1.1406e-01 0.2353 0.9285 0.9239
1.0868e-01 0.4518 0.8619 0.9077
2.3502e-01 0.4086 0.8464 0.8770
1.0049e-01 0.4349 0.9022 0.9395
1.1179e-01 0.3063 0.8039 0.8933
1.4425e-01 0.1623 0.9261 0.9407
1.3735e-01 0.0620 0.8591 0.8674
1.1480e-01 0.4866 0.8775 0.8840
2.2370e-01 0.0680 0.9141 0.7915
8.9204e-02 0.4259 0.8739 0.9468
9.4934e-02 0.3546 0.9074 0.9302
9.3987e-02 0.1166 0.8627 0.9294
1.2198e-01 0.2276 0.7954 0.8650
2.2516e-01 0.5827 0.9265 0.8580
1.0466e-01 0.0000 0.9532 0.8754
1.0016e-01 0.0237 0.9038 0.9502
9.0729e-02 0.2305 0.8824 0.9456
8.8623e-02 0.5267 0.8723 0.9480
1.1648e-01 0.6224 0.8462 0.9209
1.0257e-01 0.2582 0.8438 0.8727
1.2126e-01 0.0000 0.9495 0.8831
9.8691e-02 0.2824 0.8969 0.9225
1.0195e-01 0.7219 0.8844 0.9133
8.8281e-02 0.3061 0.8963 0.9289
9.6093e-02 0.2410 0.8538 0.9394
1.4737e-01 0.0000 0.8915 0.7798
1.0152e-01 0.4266 0.9049 0.9387
9.1613e-02 0.3221 0.9079 0.9187
9.2155e-02 0.0348 0.9044 0.9066
1.0542e-01 0.0000 0.9005 0.9319
1.0391e-01 0.5452 0.9229 0.9430
1.0579e-01 0.2273 0.8821 0.9286
1.0678e-01 0.0041 0.9195 0.9217
1.0646e-01 0.0000 0.8008 0.8856
1.0445e-01 0.0000 0.8974 0.9022
8.9258e-02 0.2847 0.9111 0.9293
9.9366e-02 0.4452 0.8797 0.9179
8.9029e-02 0.0000 0.8999 0.8795
1.0002e-01 0.5885 0.8870 0.9403
9.1623e-02 0.0744 0.8683 0.7510
8.9615e-02 0.0079 0.9453 0.9271
1.0702e-01 0.6349 0.8938 0.9263
9.0490e-02 0.5068 0.8776 0.9256
1.1850e-01 0.0059 0.7853 0.9025
9.4363e-02 0.4425 0.9007 0.8731
1.1100e-01 0.0000 0.8085 0.9157
1.0688e-01 0.0066 0.9121 0.9419
1.0218e-01 0.2491 0.9277 0.9396
1.4501e-01 0.1375 0.9350 0.9045
9.4636e-02 0.0551 0.8460 0.9092
1.3377e-01 0.4292 0.7973 0.9030
9.3511e-02 0.3708 0.8955 0.8985
1.0088e-01 0.2782 0.8283 0.8938
1.0273e-01 0.5080 0.9092 0.9278
1.0999e-01 0.5867 0.9101 0.9326
9.3020e-02 0.1845 0.8793 0.9352
8.2218e-02 0.2685 0.8868 0.9431
8.1871e-02 0.1718 0.8651 0.9345
8.4609e-02 0.2799 0.9005 0.9292
1.0353e-01 0.0008 0.9405 0.8786
9.2506e-02 0.2486 0.8441 0.9020
7.9236e-02 0.3292 0.8949 0.9203
1.0821e-01 0.0102 0.9508 0.9212
1.3147e-01 0.2224 0.7155 0.8508
8.1441e-02 0.3328 0.8703 0.9382
8.3820e-02 0.5258 0.8957 0.9362
9.5835e-02 0.3452 0.8329 0.9136
7.4921e-02 0.3756 0.9093 0.8731
8.6912e-02 0.5062 0.9174 0.9428
9.8810e-02 0.0244 0.8888 0.9115
1.0952e-01 0.4747 0.9279 0.9455
9.2980e-02 0.6362 0.8736 0.9382
1.0289e-01 0.5565 0.9174 0.9460
9.4781e-02 0.0837 0.8245 0.9108
1.1610e-01 0.0018 0.7041 0.9243
1.0272e-01 0.0000 0.8851 0.8736
8.7635e-02 0.1659 0.9106 0.9517
9.8395e-02 0.1489 0.8908 0.9325
8.5983e-02 0.5536 0.8920 0.9509
1.1800e-01 0.0000 0.7287 0.7621
9.9864e-02 0.2550 0.7992 0.9337
8.6136e-02 0.0642 0.9080 0.9291
1.7537e-01 0.0000 0.7982 0.8489
9.7552e-02 0.4655 0.8836 0.9103
9.5347e-02 0.0886 0.8332 0.8343
9.8078e-02 0.0000 0.8856 0.8964
1.0626e-01 0.0522 0.8331 0.9009
8.7547e-02 0.2915 0.8915 0.9390
1.0781e-01 0.2822 0.9165 0.9500
1.1185e-01 0.0000 0.9458 0.8824
8.7617e-02 0.1968 0.9214 0.9452
8.6330e-02 0.0742 0.8879 0.9441
1.3255e-01 0.5012 0.9348 0.9085
1.0892e-01 0.2392 0.8740 0.9014
9.6290e-02 0.4363 0.8619 0.8914
1.1487e-01 0.1510 0.8211 0.8593
1.0808e-01 0.0000 0.9269 0.9140
9.5787e-02 0.4422 0.8964 0.9042
1.3291e-01 0.0000 0.7318 0.8958
8.4682e-02 0.1732 0.9072 0.9293
8.6150e-02 0.6520 0.8701 0.9177
2.6424e-01 0.3250 0.8204 0.8419
9.2375e-02 0.2993 0.8834 0.9269
9.4314e-02 0.3680 0.9157 0.9239
8.9147e-02 0.2327 0.9160 0.9320
9.9124e-02 0.4350 0.9103 0.9437
1.1619e-01 0.0815 0.9516 0.8238
1.0367e-01 0.4490 0.9034 0.9354
9.8628e-02 0.0048 0.8865 0.9170
1.2363e-01 0.0046 0.8856 0.8534
1.2676e-01 0.2730 0.9284 0.9170
1.2002e-01 0.0000 0.9211 0.9163
1.4129e-01 0.0000 0.9147 0.8564
1.1098e-01 0.0000 0.9014 0.8574
1.1835e-01 0.2014 0.8778 0.8804
1.6918e-01 0.1645 0.6565 0.8965
1.1053e-01 0.0961 0.9040 0.9083
1.0919e-01 0.5638 0.8892 0.9005
2.6510e-01 0.0545 0.6594 0.8760
9.4798e-02 0.0000 0.9183 0.8986
7.9798e-02 0.2874 0.9189 0.9395
1.0697e-01 0.0000 0.7694 0.8994
1.0467e-01 0.3262 0.9336 0.9367
1.0095e-01 0.3043 0.8808 0.9106
1.0106e-01 0.3926 0.7953 0.8541
1.6161e-01 0.0000 0.7385 0.8845
1.1539e-01 0.5242 0.9257 0.9050
1.1172e-01 0.1204 0.8223 0.9164
8.8902e-02 0.0563 0.8597 0.9418
8.4998e-02 0.1138 0.8986 0.9468
1.0524e-01 0.5453 0.9234 0.9103
9.8260e-02 0.4782 0.9021 0.9498
1.0546e-01 0.0895 0.8151 0.8983
9.9495e-02 0.0030 0.9238 0.9079
9.7779e-02 0.0798 0.9322 0.9257
1.0084e-01 0.0000 0.8479 0.9051
9.9386e-02 0.5347 0.8540 0.9153
1.1427e-01 0.0000 0.9087 0.8733
1.0860e-01 0.4289 0.9370 0.9166
1.2568e-01 0.0204 0.9149 0.9262
9.9751e-02 0.4877 0.9346 0.9345
1.2835e-01 0.1670 0.9170 0.8734
1.7699e-01 0.2996 0.8894 0.8478
1.2721e-01 0.0000 0.9344 0.7371
8.6891e-02 0.5685 0.9017 0.9420
1.0470e-01 0.1431 0.9028 0.9187
1.4368e-01 0.4500 0.9053 0.8771
9.0994e-02 0.1207 0.8577 0.9033
1.0949e-01 0.0000 0.9403 0.9091
1.0404e-01 0.4604 0.8358 0.9395
9.4963e-02 0.0000 0.9014 0.8953
1.1134e-01 0.0000 0.8440 0.8251
1.0532e-01 0.0000 0.9146 0.8861
9.1391e-02 0.0625 0.9217 0.9234
1.1082e-01 0.2317 0.8804 0.9028
