RMAE  F1  R2
3.4639e-02 0.9635 0.8669 0.8733
6.2957e-02 0.9050 0.7957 0.8892
6.4940e-02 0.8239 0.7770 0.9388
5.4897e-02 0.9434 0.7498 0.8496
3.5767e-02 0.9490 0.8982 0.8768
6.4197e-02 0.8485 0.7954 0.9308
2.9404e-02 0.9890 0.7537 0.8841
5.5952e-02 0.9042 0.8194 0.9316
4.8515e-02 0.8570 0.8545 0.8983
5.6042e-02 0.7141 0.8779 0.8353
3.2402e-02 0.9839 0.7298 0.8823
5.4341e-02 0.7421 0.8900 0.8874
5.0767e-02 0.8352 0.8332 0.8373
6.1300e-02 0.9097 0.8682 0.8987
3.5628e-02 0.9964 0.6706 0.8035
7.3916e-02 0.7824 0.7305 0.9324
6.7786e-02 0.8419 0.8183 0.9388
2.8644e-02 0.9247 0.8633 0.8591
5.2461e-02 0.7629 0.8597 0.9175
2.6882e-02 0.9941 0.8245 0.8587
4.0819e-02 0.9745 0.8395 0.8749
2.8926e-02 0.9930 0.7624 0.8365
6.5929e-02 0.8911 0.8237 0.8955
7.4822e-02 0.8219 0.6856 0.9342
3.5853e-02 0.9961 0.7698 0.8794
3.7362e-02 0.8333 0.8877 0.8967
3.2261e-02 0.9657 0.7914 0.8406
3.5183e-02 0.9177 0.8618 0.8395
5.1644e-02 0.8754 0.8438 0.9115
3.9330e-02 0.9549 0.8414 0.8863
6.1511e-02 0.7047 0.8924 0.9196
4.5860e-02 0.8243 0.8665 0.9209
2.7623e-02 0.9330 0.8195 0.8574
3.5715e-02 0.9393 0.8242 0.8730
6.1741e-02 0.7685 0.8279 0.9167
7.7119e-02 0.7756 0.7965 0.9265
6.1905e-02 0.7983 0.8306 0.8974
6.5750e-02 0.7504 0.8321 0.9132
5.2862e-02 0.9019 0.8299 0.9231
6.8873e-02 0.6456 0.7836 0.9297
7.0227e-02 0.8147 0.7781 0.9223
5.5669e-02 0.7994 0.8308 0.8979
5.0362e-02 0.9903 0.8122 0.8158
5.7393e-02 0.8454 0.8853 0.9142
5.4922e-02 0.7867 0.8117 0.9381
2.2504e-02 0.9931 0.8271 0.8596
5.0297e-02 0.9024 0.8271 0.9090
3.7014e-02 0.8997 0.8533 0.8900
4.6146e-02 0.9522 0.7921 0.8777
4.5402e-02 0.9992 0.6100 0.8296
7.1454e-02 0.8277 0.7540 0.9333
4.8612e-02 0.9483 0.8456 0.8719
5.6056e-02 0.8844 0.8480 0.8537
5.9441e-02 0.8513 0.8020 0.9374
5.2213e-02 0.9251 0.8157 0.9365
6.2923e-02 0.8741 0.8589 0.8939
8.9795e-02 0.7780 0.6786 0.9262
4.8299e-02 0.9595 0.8095 0.9014
6.0450e-02 0.8568 0.8242 0.9418
6.4132e-02 0.8562 0.9013 0.8790
7.1485e-02 0.8760 0.7649 0.9288
6.1635e-02 0.6178 0.8188 0.9343
6.4380e-02 0.8871 0.9085 0.8832
2.6156e-02 0.9701 0.8548 0.8952
3.1429e-02 0.9633 0.8606 0.8675
6.1496e-02 0.7965 0.8374 0.9054
6.2955e-02 0.8297 0.7872 0.9067
3.5303e-02 0.9800 0.7434 0.8810
7.6899e-02 0.8571 0.7954 0.9364
2.7422e-02 0.9966 0.7213 0.8334
2.1938e-02 0.9882 0.8131 0.8998
4.9816e-02 0.8981 0.8232 0.9378
5.3506e-02 0.8870 0.8482 0.8965
2.4711e-02 0.9910 0.7772 0.8682
3.4088e-02 0.9823 0.6711 0.8649
7.3807e-02 0.8909 0.6621 0.9264
3.5140e-02 0.9579 0.8446 0.8736
5.8548e-02 0.6150 0.8585 0.9154
6.6588e-02 0.7377 0.8249 0.9367
5.8488e-02 0.9334 0.8157 0.9323
5.6070e-02 0.8548 0.8526 0.9090
4.1567e-02 0.7661 0.8691 0.9283
4.0676e-02 0.8663 0.8911 0.9017
7.0638e-02 0.8650 0.8532 0.8982
5.1197e-02 0.8772 0.8137 0.8951
